period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted,perc_non_recovery
April,SHARDO,Abdul-aziz ,SHIBIS - TSFP,WFP360,2.037711,45.35,TSFP_U5,273,100,0,0,339,0,0,0,0,2706,373,339,2740,100,0,0
April,HEAL ,Ceel Afweyn,SHOODHE  - TSFP,WFP361,10.009707,47.367295,TSFP_U5,27,0,0,0,0,0,0,0,0,6,27,0,33,0,0,0
April,HEAL ,Ceel Afweyn,SINCARO  - TSFP,WFP364,9.47695,47.0754,TSFP_U5,92,0,0,0,0,0,0,0,0,114,92,0,206,0,0,0
April,WVI,Garowe,Sin-ujiif - TSFP,WFP365,8.53713,48.9852,TSFP_U5,172,0,0,0,52,0,0,0,0,140,172,52,260,100,0,0
April,WVI,Doolow,Surgaduud - TSFP,WFP367,4.09584,42.02514,TSFP_U5,41,0,0,0,11,0,0,0,0,68,41,11,98,100,0,0
April,WVI,Eyl,Suuban - TSFP,WFP369,7.78119,49.41792,TSFP_U5,7,5,0,0,50,0,0,0,0,155,12,50,117,100,0,0
April,Mercy USA,Cabudwaaq,Dabad - Settlement,WFP3692,6.30619,46.54925,TSFP_U5,19,0,0,0,18,0,0,0,0,251,19,18,252,100,0,0
April,WRRS,Afmadow,tabta - TSFP,WFP370,0.30463,41.43938,TSFP_U5,14,6,0,0,14,0,0,0,0,204,20,14,210,100,0,0
April,HRDO,Cadaado,Dhagaxdher - Settlement,WFP3714,5.89619,46.83997,TSFP_U5,78,0,0,0,0,0,0,0,0,79,78,0,157,0,0,0
April,Mercy USA,Taleex,Taleex - MCHN,WFP372,9.14839,48.42077,TSFP_U5,5,0,0,0,0,0,0,0,0,469,5,0,474,0,0,0
April,WVI,Baydhaba/Bardaale,Towfiiq - TSFP,WFP374,3.126929,43.675404,TSFP_U5,70,0,0,0,99,0,0,13,0,233,70,112,191,88,0,0
April,Mercy USA,Laas Caanood,Tukaraq  - MCHN,WFP375,8.567305,47.643818,TSFP_U5,0,0,0,0,0,0,0,0,0,148,0,0,148,0,0,0
April,Mercy USA,Buuhoodle,Dhumay  - Settlement,WFP3750,8.326738,47.062849,TSFP_U5,0,0,0,0,0,0,0,0,0,82,0,0,82,0,0,0
April,HADO,Bossaso,Ufeyn - TSFP,WFP378,10.65233,49.75337,TSFP_U5,21,0,0,0,39,0,0,0,0,424,21,39,406,100,0,0
April,WVI,Doolow,Unsi - TSFP,WFP379,4.02341,41.95507,TSFP_U5,47,0,0,0,17,0,0,0,0,121,47,17,151,100,0,0
April,DHO,Diinsoor,Waaberi - MCHN,WFP380,2.047638,45.35,TSFP_U5,62,0,0,0,43,0,0,0,0,470,62,43,489,100,0,0
April,WVI,Baydhaba/Bardaale,Wadajir 4 - TSFP,WFP384,3.149063,43.667816,TSFP_U5,58,0,0,0,19,0,0,0,2,192,58,21,229,90,0,0
April,WVI,Hargeysa,Dhimbiryaale - Settlement,WFP3875,9.272371,44.111165,TSFP_U5,102,5,0,0,70,0,1,0,0,174,107,71,210,99,1,0
April,WVI,Eyl,Wargaduud - TSFP,WFP388,7.72972,49.06849,TSFP_U5,16,4,0,0,57,0,0,0,0,143,20,57,106,100,0,0
April,HADO,Qandala,Balidhidin - TSFP,WFP39,10.87986,50.39222,TSFP_U5,55,0,0,0,95,0,0,0,0,451,55,95,411,100,0,0
April,HEAL ,Ceel Afweyn,DHOOMO  - Settlement,WFP3903,9.731548,47.032602,TSFP_U5,39,0,0,0,0,0,0,0,0,36,39,0,75,0,0,0
April,RAAS,Garbahaarey,Dhubaa - Settlement,WFP3909,3.08896,42.2837,TSFP_U5,0,0,0,0,0,0,0,0,0,204,0,0,204,0,0,0
April,Mercy USA,Buuhoodle,Widh widh - MCHN,WFP392,8.454123,46.706793,TSFP_U5,8,0,0,0,0,0,0,0,0,44,8,0,52,0,0,0
April,Mercy USA,Hobyo,Bacadweyn  - TSFP,WFP393,5.32453,47.90805,TSFP_U5,7,0,0,0,22,0,0,0,0,206,7,22,191,100,0,0
April,HADO,Caluula,Xaabo - MCHN,WFP394,11.52195,50.52195,TSFP_U5,18,0,0,0,104,0,0,0,0,600,18,104,514,100,0,0
April,HADO,Iskushuban,Xaafuun - TSFP,WFP396,10.42312,51.26094,TSFP_U5,9,0,0,0,40,0,0,0,0,435,9,40,404,100,0,0
April,Mercy USA,Buuhoodle,Balihadhac  - TSFP,WFP40,8.44057,46.84215,TSFP_U5,0,0,0,0,0,0,0,0,0,64,0,0,64,0,0,0
April,Mercy USA,Buuhoodle,Xamar lagu xidh - MCHN,WFP400,8.173037,46.502336,TSFP_U5,5,0,0,0,0,0,0,0,0,41,5,0,46,0,0,0
April,HRDO,Cadaado,Docoley - Settlement,WFP4052,6.1366,46.95448,TSFP_U5,21,0,0,0,0,0,0,0,0,60,21,0,81,0,0,0
April,WVI,Garowe,Xamur - TSFP,WFP406,8.72209,48.74333,TSFP_U5,27,0,0,0,7,0,0,0,0,30,27,7,50,100,0,0
April,WVI,Garowe,Xamxamaa - TSFP,WFP407,8.15768,49.05728,TSFP_U5,2,0,0,0,57,0,0,0,0,100,2,57,45,100,0,0
April,GEWDO,Garbahaarey,Doofarey - Settlement,WFP4084,3.31898,42.25413,TSFP_U5,19,0,0,0,0,0,0,0,0,137,19,0,156,0,0,0
April,Mercy USA,Cabudwaaq,Herale - TSFP,WFP413,6.02351,45.96333,TSFP_U5,16,0,0,0,16,0,0,0,0,458,16,16,458,100,0,0
April,Mercy USA,Buuhoodle,Xidhxidh - TSFP,WFP416,8.37355,46.986236,TSFP_U5,6,0,0,0,0,0,0,0,0,71,6,0,77,0,0,0
April,RAWA,Xarardheere,Dumaye - TSFP,WFP420,4.87728,47.61589,TSFP_U5,100,0,0,0,39,0,4,5,2,311,100,50,361,78,8,0
April,HADO,Iskushuban,Xiriiro - TSFP,WFP422,9.97824,50.25085,TSFP_U5,10,0,0,0,35,0,0,0,0,372,10,35,347,100,0,0
April,WVI,Burtinle,Bahaley - TSFP,WFP434,7.60802,47.50677,TSFP_U5,21,0,0,0,39,1,0,0,0,25,21,40,6,98,0,0
April,HIDIG,Ceel Barde,Ahmed Korey - TSFP,WFP436,4.88194,44.24083,TSFP_U5,52,4,14,0,5,0,2,7,4,195,70,18,247,28,11,1
April,SHARDO,Balcad/Warsheikh,BALCAD - TSFP,WFP438,2.649542,45.049142,TSFP_U5,0,0,0,0,420,0,0,0,0,870,0,420,450,100,0,0
April,WVI,Garowe,22km - Settlement,WFP439,8.4776,48.65071,TSFP_U5,23,0,0,0,3,0,0,0,0,20,23,3,40,100,0,0
April,SWISSO-kalmo,Dhuusamarreeb,Eldhere - Settlement,WFP4416,5.23121,46.45075,TSFP_U5,0,0,0,0,26,0,0,0,0,208,0,26,182,100,0,0
April,WVI,Hargeysa,Farwayne - Settlement,WFP4522,9.33158,43.67031,TSFP_U5,57,6,0,0,22,0,3,0,0,215,63,25,253,88,12,0
April,Mercy USA,Laas Caanood,faridhidhin  - Settlement,WFP4530,8.09201,47.99068,TSFP_U5,0,0,0,0,0,0,0,0,0,42,0,0,42,0,0,0
April,HIMILO,Kismayu,Farjano - Settlement,WFP4532,7.5654,47.79142,TSFP_U5,0,0,2,0,0,0,1,2,0,1131,2,3,1130,0,33,1
April,SWISSO-kalmo,Dhuusamarreeb,Dhusamareb town - MCHN,WFP47,5.537643,46.386698,TSFP_U5,232,0,0,0,152,0,0,0,0,769,232,152,849,100,0,0
April,Mercy USA,Hobyo,Galbarwaqo - Settlement,WFP4757,6.127836,47.678698,TSFP_U5,20,0,0,0,8,0,0,0,0,107,20,8,119,100,0,0
April,HEAL ,Hargeisa  ,ABAARSO  - Settlement,WFP479,9.602462,43.880653,TSFP_U5,78,0,152,0,0,0,140,0,0,300,230,140,390,0,100,0
April,SDRO,Gaalkacyo,Bandiradley - TSFP,WFP48,6.47979,46.945358,TSFP_U5,23,0,0,0,21,0,0,0,0,211,23,21,213,100,0,0
April,HEAL ,Ceel Afweyn,GAR-ADAG  - Settlement,WFP4876,9.487011,46.866926,TSFP_U5,250,0,17,0,0,0,9,0,0,635,267,9,893,0,100,0
April,GEWDO,Garbahaarey,Garbaharey - Regional Capital,WFP4990,3.328,42.219879,TSFP_U5,27,0,0,0,140,0,0,5,1,151,27,146,32,96,0,0
April,SWISSO-kalmo,Afgooye,Afgooye - TSFP,WFP5,2.14158,45.118698,TSFP_U5,268,0,6,0,1020,0,0,5,0,1324,274,1025,573,100,0,0
April,WVI,Lughaye,Gargaara - Settlement,WFP5018,10.313044,43.805888,TSFP_U5,93,0,2,0,107,0,2,2,0,406,95,111,390,96,2,0
April,WVI,Gebiley,Gabiley - District Capital,WFP5090,9.70577,43.62497,TSFP_U5,449,0,5,0,431,0,4,5,0,890,454,440,904,98,1,0
April,WVI,Luuq,Abdikhier - Settlement,WFP513,3.87355,42.52765,TSFP_U5,11,0,0,0,0,0,0,0,0,35,11,0,46,0,0,0
April,WVI,Lughaye,Geerisa - Settlement,WFP5143,10.60353,43.43364,TSFP_U5,187,0,2,0,45,0,2,2,0,499,189,49,639,92,4,0
April,HRDO,Cadaado,Gidheys - Settlement,WFP5192,6.01858,46.6824,TSFP_U5,12,0,0,0,0,0,0,0,0,55,12,0,67,0,0,0
April,HIDIG,Ceel Barde,Abesale - Settlement,WFP526,4.90445,44.5206,TSFP_U5,52,11,23,0,5,0,3,3,6,140,86,17,209,29,18,1
April,Mercy USA,Buuhoodle,Banyaal - TSFP,WFP53,8.36836,46.53861,TSFP_U5,0,0,0,0,0,0,0,0,0,43,0,0,43,0,0,0
April,WVI,Dan Gorayo,Baqbaq - TSFP,WFP54,7.82861,49.488331,TSFP_U5,32,0,0,0,29,3,0,1,0,120,32,33,119,88,0,0
April,Mercy USA,Cabudwaaq,Abudwaq  - Settlement,WFP556,6.24187,46.22592,TSFP_U5,25,0,0,0,17,0,0,0,0,595,25,17,603,100,0,0
April,HADO,Caluula,Bareeda - TSFP,WFP56,11.8702,51.05796,TSFP_U5,35,0,0,0,51,0,0,0,0,451,35,51,435,100,0,0
April,Mercy USA,Taleex,Hangey - Settlement,WFP5655,9.13004,47.5761,TSFP_U5,0,0,0,0,0,0,0,0,0,135,0,0,135,0,0,0
April,DHO,Diinsoor,Hawlwadaag - Settlement,WFP5751,2.00723,43.16499,TSFP_U5,63,0,0,0,40,0,4,0,0,578,63,44,597,91,9,0
April,RAAS,Garbahaarey,Hillamarer - Settlement,WFP5803,3.22728,42.49406,TSFP_U5,0,0,0,0,0,0,0,0,0,324,0,0,324,0,0,0
April,EPHCO,Ceel Barde,Hiirey - Settlement,WFP5845,4.80724,43.712,TSFP_U5,97,5,2,0,0,0,0,0,0,297,104,0,401,0,0,0
April,WVI,Eyl,Badey - TSFP,WFP59,7.98566,49.83521,TSFP_U5,26,0,0,0,18,1,0,0,0,163,26,19,170,95,0,0
April,SCI,Borama,Idhaanka  - Settlement,WFP6002,9.69256,43.30208,TSFP_U5,124,0,0,0,3,0,0,0,0,315,124,3,436,100,0,0
April,HRDO,Cadaado,Iidoole - Settlement,WFP6018,6.17485,46.84643,TSFP_U5,15,0,0,0,0,0,0,0,0,52,15,0,67,0,0,0
April,SCODO,Laas Caanood,Kalabaydh Lasanod - Settlement,WFP6482,8.242749,47.22691,TSFP_U5,212,0,0,0,13,0,0,0,0,141,212,13,340,100,0,0
April,WVI,Gebiley,Kalabayidhi - Settlement,WFP6492,9.68069,43.47742,TSFP_U5,88,0,2,0,70,0,3,2,0,390,90,75,405,93,4,0
April,Mercy USA,Hobyo,Kalabeyr - Settlement,WFP6495,4.92629,45.21723,TSFP_U5,15,0,0,0,24,0,0,0,0,150,15,24,141,100,0,0
April,Mercy USA,Taleex,Kalcad  - Settlement,WFP6515,9.17566,48.14137,TSFP_U5,0,0,0,0,0,0,0,0,0,96,0,0,96,0,0,0
April,Mercy USA,Laas Caanood,Karindabeyl weyn  - Settlement,WFP6564,8.113926,47.537422,TSFP_U5,0,0,0,0,0,0,0,0,0,70,0,0,70,0,0,0
April,Mercy USA,Laas Caanood,karingarfood  - Settlement,WFP6565,8.126692,47.754498,TSFP_U5,0,0,0,0,0,0,0,0,0,59,0,0,59,0,0,0
April,WVI,Garowe,B.dheer - TSFP,WFP67,8.25639,48.305828,TSFP_U5,16,0,0,0,16,0,0,0,0,35,16,16,35,100,0,0
April,HEAL ,CeelAfweyn,BIXINKA  - TSFP,WFP69,10.113809,47.086639,TSFP_U5,30,0,0,0,0,0,0,0,0,120,30,0,150,0,0,0
April,Mercy USA,LaasCaanood,Lasanod - Regional Capital,WFP6912,8.473575,47.354409,TSFP_U5,56,0,78,0,0,0,53,0,0,420,134,53,501,0,100,0
April,DHO,Diinsoor,Lama warood - Settlement,WFP7022,2.51773,42.9721,TSFP_U5,38,0,0,0,23,0,0,0,0,119,38,23,134,100,0,0
April,WVI,Lughaye,Lughaye - District Capital,WFP7165,10.682525,43.943153,TSFP_U5,84,0,0,0,85,0,0,0,0,511,84,85,510,100,0,0
April,SWISSO-kalmo,Dhuusamarreeb,Bohol - TSFP,WFP72,5.74731,46.22785,TSFP_U5,0,0,0,0,21,0,0,0,0,138,0,21,117,100,0,0
April,SCI,Deynile,Malable - Settlement,WFP7385,3.03813,43.43877,TSFP_U5,429,30,0,0,0,0,0,0,2,38,459,2,495,0,0,1
April,Mercy USA,Laas Caanood,Boocame - MCHN,WFP75,8.396344,47.935664,TSFP_U5,15,0,0,0,0,0,0,0,0,632,15,0,647,0,0,0
April,HRDO,Cadaado,Marsamage - Settlement,WFP7516,5.76868,47.26299,TSFP_U5,70,0,0,0,0,0,0,0,0,76,70,0,146,0,0,0
April,HEAL ,Ceerigaabo,MAYDH  - Settlement,WFP7577,10.988259,47.109128,TSFP_U5,68,0,19,0,0,0,11,0,0,592,87,11,668,0,100,0
April,Mercy USA,Hobyo,Hobyo town  - TSFP,WFP77,5.34743,48.5262,TSFP_U5,54,0,0,0,36,0,0,0,0,916,54,36,934,100,0,0
April,Mercy USA,Kahda,Mogadishu - National Capital,WFP7702,2.04139,45.333721,TSFP_U5,481,0,0,0,0,0,0,0,0,483,481,0,964,0,0,0
April,WVI,Doolow,Qansaxley - Settlement,WFP8123,2.58504,45.00872,TSFP_U5,282,0,0,0,28,0,0,0,0,152,282,28,406,100,0,0
April,SDRO,Gaalkacyo,Qarqoora  - Settlement,WFP8152,6.74718,47.69378,TSFP_U5,7,0,0,0,9,0,0,0,0,37,7,9,35,100,0,0
April,WVI,BeletXaawo,Buniyo - TSFP,WFP82,3.5444,41.85122,TSFP_U5,15,3,3,0,17,0,0,1,4,50,21,22,49,77,0,0
April,SCI,Borama,Quljeed - Settlement,WFP8291,10.09149,43.00922,TSFP_U5,82,3,0,0,40,0,0,0,0,448,85,40,493,100,0,0
April,WVI,Dan Gorayo,Qundhed - Settlement,WFP8300,8.89492,50.44462,TSFP_U5,15,0,0,0,15,0,0,0,0,80,15,15,80,100,0,0
April,HIDIG,Ceel Barde,Quracjome - Settlement,WFP8310,4.9439,44.30128,TSFP_U5,59,7,21,0,11,0,4,8,6,560,87,29,618,38,14,0
April,Mercy USA,Hargeisa  ,Sabawanag - Settlement,WFP8568,9.04489,44.58108,TSFP_U5,87,0,117,0,0,0,76,0,0,360,204,76,488,0,100,0
April,SDO,Galdogob,BURSAALAX - TSFP,WFP86,7.17457,47.24316,TSFP_U5,188,0,0,0,0,0,0,0,0,730,188,0,918,0,0,0
April,WVI,Hargeysa,Salahlaye - Settlement,WFP8622,9.02686,44.20228,TSFP_U5,316,4,0,0,45,0,0,0,0,315,320,45,590,100,0,0
April,EPHCO,Ceel Barde,Salkudhooble - Settlement,WFP8632,4.90952,43.99175,TSFP_U5,12,2,3,0,0,0,0,0,0,379,17,0,396,0,0,0
April,WVI,Burtinle,Burtinle - MCHN,WFP87,7.64157,47.83103,TSFP_U5,236,75,0,0,316,1,0,1,0,836,311,318,829,99,0,0
April,SDO,Jariiban,SEEMADE - Settlement,WFP8737,6.8771,48.6721,TSFP_U5,103,0,0,0,0,0,0,0,0,406,103,0,509,0,0,0
April,SWISSO-kalmo,Dhuusamarreeb,Shalaqben - Settlement,WFP8786,5.26156,45.765,TSFP_U5,40,0,0,0,26,0,0,0,0,182,40,26,196,100,0,0
April,RAWA,Xarardheere,Caad - TSFP,WFP90,5.018489,47.982327,TSFP_U5,87,0,0,0,35,0,2,5,2,255,87,44,298,80,5,0
April,WVI,Dan Gorayo,Suuj - Settlement,WFP9044,8.68593,50.36265,TSFP_U5,18,0,0,0,18,0,0,0,0,80,18,18,80,100,0,0
April,Mercy USA,Cabudwaaq,Tawakal - Settlement,WFP9092,4.88902,45.04633,TSFP_U5,14,0,0,0,18,0,0,0,0,278,14,18,274,100,0,0
April,HRDO,Cadaado,Bahdo - TSFP,WFP93,5.78938,47.2258,TSFP_U5,155,0,0,0,121,0,0,0,0,1596,155,121,1630,100,0,0
April,WVI,Dan Gorayo,Usgure - Settlement,WFP9344,7.518322,49.416017,TSFP_U5,37,0,0,0,35,2,0,1,0,180,37,38,179,92,0,0
April,HRDO,Cadaado,Wad - Settlement,WFP9422,6.34234,46.79284,TSFP_U5,23,0,0,0,0,0,0,0,0,54,23,0,77,0,0,0
April,WVI,Gebiley,Wajaale - Settlement,WFP9432,9.60272,43.33481,TSFP_U5,441,0,2,0,53,0,0,2,0,251,443,55,639,96,0,0
April,HRDO,Cadaado,Cadaado - TSFP,WFP95,6.131423,46.625464,TSFP_U5,110,0,0,0,145,0,0,0,0,1731,110,145,1696,100,0,0
April,Mercy USA,Hobyo,Wargalo - Settlement,WFP9584,6.26335,47.5202,TSFP_U5,24,0,0,0,4,0,0,0,0,120,24,4,140,100,0,0
April,WVI,BeletXaawo,Wariiryale - Settlement,WFP9598,3.90174,41.95904,TSFP_U5,39,3,2,0,21,0,0,3,3,125,44,27,142,78,0,0
April,SHARDO,Cadale,CADALE - TSFP,WFP96,2.7568,46.319,TSFP_U5,342,0,0,0,626,0,0,0,0,789,342,626,505,100,0,0
April,RAWA,Xarardheere,Warshubo - Settlement,WFP9623,5.132,47.432499,TSFP_U5,83,0,0,0,32,0,2,4,1,265,83,39,309,82,5,0
April,Mercy USA,Taleex,Xalin  - Settlement,WFP9705,9.10633,48.6392,TSFP_U5,0,0,0,0,0,0,0,0,0,180,0,0,180,0,0,0
