total_planned,planned_ct,planned_uct,cash_partner,region_id,region,district,district_id
3600,0,3600,SC,R1720058,Hiran,Jalalaqsi,R1720113
,,,,,,Sablaale,R1720133
,,,,,,Tayeeglow,R1720136
1057752,1057752,0,ICRC,R1720056,Galgadud,Ceel Dheer,R1720098
4980,0,4980,NRC,R1720065,Sanaag,Ceerigaabo,R1720099
60378,60378,0,IRC ICRC,R1720056,Galgadud,Dhuusamarreeb,R1720100
,,,,,,Diinsoor,R1720101
,,,,,,Doolow,R1720102
,,,,,,El Waq,R1720103
26742,3942,22800,ACF,R1720064,Nugaal,Eyl,R1720104
8500,8500,0,ADRA,R1720068,Woqooyi Galbeed,Gabiley,R1720105
,,,,,,Galdogob,R1720106
1591650,1054602,537048,WFP IRC CESVI ADRA,R1720063,Mudug,Galkaacyo,R1720107
,,,,,,Garbahaarey,R1720108
,,,,,,Garowe,R1720109
1080,1080,0,SC,R1720068,Woqooyi Galbeed,Hargeysa,R1720110
,,,,,,Saakow,R1720132
1742556,1057752,684804,,R1720063,Mudug,Hobyo,R1720111
69156,7680,61476,SC,R1720054,Bari,Iskushuban,R1720112
1719936,1033776,686160,IRC,R1720063,Mudug,Jariiban,R1720115
,,,,,,Jilib,R1720116
,,,,,,Jowhar,R1720117
,,,,,,Kurtunwaarey,R1720119
23880,23880,0,ADRA,R1720066,Sool,Laas Caanood,R1720120
105924,0,105924,,R1720065,Sanaag,Laasqoray,R1720121
,,,,,,Lughaye,R1720122
,,,,,,Waajid,R1720137
,,,,,,Luuq,R1720123
,,,,,,Marka,R1720124
,,,,,,Mogadishu,R1720125
24696,24696,0,WFP,R1720067,Togdheer,Owdweyne,R1720126
2100,1200,900,SC,R1720054,Bari,Qandala,R1720127
,,,,,,Qansax Dheere,R1720128
170064,8400,161664,SC,R1720054,Bari,Qardho,R1720129
,,,,,,Qoryooley,R1720130
,,,,,,Rab Dhuure,R1720131
,,,,,,Sheikh,R1720134
,,,,,,Taleex,R1720135
80430,80430,0,ICRC,R1720060,Lower Shabelle,Wanle Weyne,R1720138
,,,,,,Xarardheere,R1720139
,,,,,,Xudun,R1720140
22980,1200,21780,ACF SC,R1720052,Bakool,Xudur,R1720141
53160,19080,34080,SC,R1720051,Awdal,Zeylac,R1720142
,,,,,,Adan Yabaal,R1720069
,,,,,,Afgooye,R1720070
,,,,,,Afmadow,R1720071
,,,,,,Baardheere,R1720072
91176,2784,88392,NRC ACTED SC COOPI,R1720055,Bay,Baidoa,R1720074
21600,0,21600,SC,R1720051,Awdal,Baki,R1720075
7700,7700,0,,R1720062,Middle Shabelle,Balcad,R1720076
,,,,,,Bandarbayla,R1720077
,,,,,,Baraawe,R1720078
204474,107874,96600,SC ICRC CESVI Diakonie,R1720058,Hiran,Belet Weyne,R1720079
,,,,,,Belet Xaawo,R1720080
,,,,,,Berbera,R1720081
11844,11844,0,ICRC,R1720056,Galgaduud,Cadaado,R1720091
25200,6000,19200,SC,R1720051,Awdal,Borama,R1720082
5832,0,5832,SC,R1720054,Bari,Bossaso,R1720083
,,,,,,Bu'aale,R1720084
3600,0,3600,SC Diakonie,R1720058,Hiran,Bulo Burti,R1720085
10740,8340,2400,SC ADRA,R1720064,Nugaal,Burco,R1720086
,,,,,,Burtinle,R1720087
,,,,,,Buuhoodle,R1720088
51840,0,51840,ACTED,R1720055,Bay,Buur Hakaba,R1720089
33810,33810,0,ICRC,R1720056,Galgadud,Cabudwaaq,R1720090
,,,,,,Cadale,R1720092
,,,,,,Caluula,R1720093
,,,,,,Caynabo,R1720094
25080,20580,4500,WFP WC,R1720065,Sanaag,Ceel Afweyn,R1720095
,,,,,,Ceel Barde,R1720096
76944,76944,0,ICRC,R1720056,Galgadud,Ceel Buur,R1720097